"UPC","HSY Item Description","Hsy Seasonal Segmentation","Store Nbr","Store Name","Building City","Building State/Prov","Building Postal Code","Store Type","WM Date","SeasonAndYear","OH Qty","POS Qty","POS Sales","MSO"
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6953,"CENTERTON AR","CENTERTON","AR",72712,"Neighborhood Market","3/26/2018 12:00:00 AM","EAS2018",0,1,1,7.42350332594235
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6953,"CENTERTON AR","CENTERTON","AR",72712,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,13.5066518847007
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6953,"CENTERTON AR","CENTERTON","AR",72712,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,14.5658133440839
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6960,"SILOAM SPRINGS AR","SILOAM SPRINGS","AR",72761,"Neighborhood Market","3/27/2018 12:00:00 AM","EAS2018",0,0,0,3.62504778652802
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6963,"ANNA TX","ANNA","TX",75409,"Supercenter","3/31/2018 12:00:00 AM","EAS2018",0,8,8,89.014689578714
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6967,"WELLINGTON FL","LAKE WORTH","FL",33449,"Neighborhood Market","3/30/2018 12:00:00 AM","EAS2018",0,1,1,11.920177383592
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6971,"PEA RIDGE AR","PEA RIDGE","AR",72751,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,11.7638580931264
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",6971,"PEA RIDGE AR","PEA RIDGE","AR",72751,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,12.6863535577505
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7004,"DALLAS NC","DALLAS","NC",28034,"Neighborhood Market","3/29/2018 12:00:00 AM","EAS2018",0,0,0,7.40687361419069
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7004,"DALLAS NC","DALLAS","NC",28034,"Neighborhood Market","4/1/2018 12:00:00 AM","EAS2018",0,0,0,7.98770409191695
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7043,"RIVERTON UT","RIVERTON","UT",84065,"Neighborhood Market","3/22/2018 12:00:00 AM","EAS2018",0,2,2,1.61640798226164
1070050050,"Whprs Rbn Egg Carton 4OZ","EAS $1 Basket Fillers",7043,"RIVERTON UT","RIVERTON","UT",84065,"Neighborhood Market","3/25/2018 12:00:00 AM","EAS2018",0,0,0,3.76306620209059
